fips,Total Cases,Total Deaths,Count
48393.0,120,0,60
48391.0,121,0,42
48389.0,223,0,38
48385.0,10,0,10
48383.0,36,0,19
48379.0,166,0,66
48377.0,30,0,21
48373.0,2542,0,78
48371.0,2291,0,70
48369.0,2277,0,57
48353.0,150,0,52
48345.0,63,0,63
51141.0,643,0,55
51145.0,1539,0,79
51149.0,4628,0,81
55093.0,1713,0,98
55091.0,32,0,32
55085.0,557,0,79
55083.0,1583,0,76
55078.0,138,0,75
55069.0,186,0,45
55067.0,83,0,25
55065.0,1020,0,69
55063.0,3204,0,89
55049.0,740,0,82
55047.0,658,0,63
55037.0,141,0,71
55035.0,4610,0,88
55033.0,1198,0,87
55031.0,968,0,87
55023.0,1023,0,75
55017.0,2615,0,87
55005.0,787,0,73
55003.0,150,0,76
54109.0,131,0,69
54105.0,223,0,78
54103.0,403,0,78
54097.0,373,0,81
55097.0,914,0,81
54095.0,201,0,69
55099.0,90,0,65
55109.0,3191,0,87
56041.0,926,0,74
56037.0,1526,0,83
56035.0,212,0,79
56033.0,1260,0,96
56031.0,25,0,25
56029.0,123,0,90
56027.0,132,0,66
56023.0,815,0,73
56017.0,488,0,81
56015.0,327,0,80
56011.0,325,0,72
56009.0,1425,0,79
56005.0,1836,0,87
56003.0,261,0,64
56001.0,912,0,82
55137.0,379,0,70
55129.0,96,0,62
55125.0,388,0,81
55123.0,609,0,52
55121.0,938,0,74
55119.0,43,0,25
55115.0,1863,0,72
55113.0,320,0,67
55107.0,307,0,73
54093.0,326,0,88
54091.0,487,0,70
54089.0,68,0,65
53043.0,157,0,92
53037.0,3260,0,100
53031.0,2279,0,101
53027.0,1011,0,95
53019.0,82,0,82
53015.0,4195,0,87
53013.0,95,0,95
53009.0,1473,0,88
53001.0,3845,0,84
51820.0,1723,0,76
51790.0,1723,0,72
51750.0,270,0,81
51735.0,508,0,81
51720.0,110,0,55
51678.0,362,0,73
51580.0,111,0,37
51530.0,592,0,73
51520.0,184,0,80
51185.0,444,0,78
51173.0,940,0,77
51167.0,371,0,70
51163.0,750,0,84
51157.0,566,0,69
53051.0,157,0,74
53055.0,1064,0,87
53059.0,216,0,80
53069.0,216,0,72
54085.0,48,0,43
54083.0,2953,0,77
54081.0,837,0,82
54075.0,602,0,49
54073.0,186,0,80
54065.0,959,0,78
54063.0,379,0,65
54055.0,796,0,89
54053.0,919,0,81
54051.0,1430,0,86
54047.0,401,0,69
48225.0,3399,0,57
54043.0,226,0,62
54029.0,921,0,80
54025.0,496,0,80
54023.0,400,0,64
